id,crypto,epoch,date,hour,direction,start_price,end_price,change_pct,change_abs,timestamp,dt,day_of_week,minute_in_session,epoch_sequence,is_market_open,rsi,volatility,price_momentum,spread_proxy,position_in_range,price_z_score,btc_correlation,multi_crypto_agreement,market_wide_direction,target
2957,btc,1767802500,2026-01-07,11,Down,91504.2,91488.9,-0.016720543975033836,-15.30000000000291,1768442315.31232,2026-01-15 01:58:35.312319994,3,718,10,1,37.79634569887668,0.2546570748060703,-0.005272153591566409,0.016720543975033836,0.3798439698170593,-0.23479598394761164,1.0,1.0,-1,0
2958,btc,1767803400,2026-01-07,11,Down,91489.0,91386.9,-0.11159811562046346,-102.10000000000582,1768442315.31324,2026-01-15 01:58:35.313240051,3,718,11,1,35.95059127685009,0.24330269013838454,-0.002484322896484814,0.11159811562046346,0.249392505435443,-0.6020599980118576,1.0,1.0,-1,0
2959,btc,1767804300,2026-01-07,11,Down,91386.9,91168.9,-0.23854622489656616,-218.0,1768442315.3141901,2026-01-15 01:58:35.314190149,3,718,12,1,32.552997789030954,0.23802059890254018,-0.0033222990878163383,0.23854622489656616,0.0,-1.318201660615274,1.0,1.0,-1,0
2960,btc,1767805200,2026-01-07,12,Up,91169.1,91197.1,0.03071216015075283,28.0,1768442315.315064,2026-01-15 01:58:35.315063953,3,778,13,1,33.3675960426374,0.23044831820391093,-0.006122566857274747,0.03071216015075283,0.035035408125242674,-1.1068389366930216,1.0,1.0,1,1
2961,btc,1767806100,2026-01-07,12,Up,91197.1,91516.5,0.35023043495899997,319.3999999999942,1768442315.315906,2026-01-15 01:58:35.315906048,3,778,14,1,41.385676072765776,0.24695307625928323,-0.004134003073025694,0.35023043495899997,0.43185488880601175,0.11885663808313154,1.0,1.0,1,1
2962,btc,1767807000,2026-01-07,12,Down,91516.5,91506.9,-0.010489911655281639,-9.60000000000582,1768442315.3170428,2026-01-15 01:58:35.317042828,3,778,15,1,47.665538488211865,0.23869580087213849,-0.0008178480877205629,0.010489911655281639,0.4199279413591183,0.07812427122346906,1.0,1.0,-1,0
2963,btc,1767807900,2026-01-07,12,Down,91506.9,91188.9,-0.34751477757415017,-318.0,1768442315.317937,2026-01-15 01:58:35.317936897,3,778,16,1,44.27828610582361,0.24296842744062325,-3.2897658673647356e-05,0.34751477757415017,0.024847807181012916,-1.1476233680072934,1.0,1.0,-1,0
2964,btc,1767808800,2026-01-07,13,Up,91176.9,91206.8,0.03279339394079941,29.90000000000873,1768442315.3188531,2026-01-15 01:58:35.318853140,3,838,17,1,37.52429158943761,0.236654445573474,-0.0008216314752776954,0.03279339394079941,0.04708659460803032,-1.012248675499463,1.0,1.0,1,1
2965,btc,1767809700,2026-01-07,13,Up,91200.1,91219.4,0.021162257497511907,19.29999999998836,1768442315.319718,2026-01-15 01:58:35.319717884,3,838,18,1,33.78676118399916,0.23059278857512971,-0.0005182613154633975,0.021162257497511907,0.06274071313205762,-0.9136166286391838,1.0,1.0,1,1
2966,btc,1767810600,2026-01-07,13,Down,91219.4,91058.6,-0.17627829167916953,-160.79999999998836,1768442315.320568,2026-01-15 01:58:35.320568085,3,838,19,1,36.47362978280748,0.22627290806121803,-0.004868634301632424,0.17627829167916953,0.0,-1.4412383204187813,1.0,1.0,-1,0
